ApplicationID,SubmissionID,ApplicantRole,AssociationCooperativeOwner,AddressNumber,StreetDirection,StreetName,StreetType,NumberofUnits,PIN,VoteDate,RecordedDate,SignedDate,Latitude,Longitude,Location,CommunityAreas,ZipCodes,Boundaries-ZIPCodes,CensusTracts,Wards
2514,PB2019A02514,"Manager of East Lakeview Property, LLC",,538-548,W,Roscoe,ST,83,"14-21-307-020-0000, 14-21-307-021-0000",,04/15/2019,04/15/2019,41.94344649,-87.64351844,"(41.94344648526843, -87.64351843607007)",57,4449,22,169,25
2513,PB2019A02513,Association Board President,912 West Chicago Avenue Condominiums Association,912,W,Chicago,AVE,12,17-05-424-016-1001 through 17-05-424-016-1032,,04/09/2019,04/09/2019,41.89645528,-87.65041735,"(41.89645527996394, -87.65041735197431)",25,22620,49,109,46
2511,PB2019A02511,"Andco Management, Ltd.",,1331-1341,W,Addison,ST,40,14-20-304-007-0000,,04/04/2019,04/04/2019,41.94697638,-87.66293693,"(41.94697638423381, -87.66293693022894)",57,21186,22,729,25
2509,PB2019A02509,President,Fullerton Colonnade Association,453-457,W,Fullerton,PKWY,14,14-33-105-036-1001 thru 14-33-105-036-1014,12/03/2018,04/02/2019,04/02/2019,41.92546323,-87.64125065,"(41.925463228311116, -87.6412506468182)",68,21190,16,745,34
2507,PB2019A02507,Lavinia Shimkus,,6241,N,Claremont,AVE,4,14061060050000,,03/28/2019,03/28/2019,41.99533548,-87.68844107,"(41.99533548219601, -87.68844106640064)",20,4450,50,53,27
2506,PB2019A02506,Lavinia Shimkus,,6134,N,Washtenaw,AVE,8,13012170260000,,03/28/2019,03/28/2019,41.9932445,-87.69720279,"(41.99324450202522, -87.69720279419026)",20,4450,50,31,24
2505,PB2019A02505,Lavinia Shimkus,,5125,W,Pensacola,AVE,3,13-16-404-007-0000,,03/28/2019,03/28/2019,41.95959624,-87.75588699,"(41.95959623768141, -87.7558869872577)",15,22618,21,259,50
2504,PB2019A02504,Lavinia Shimkus,,4619,N,Monticello,AVE,4,13-14-113-012-0000,,03/28/2019,03/28/2019,41.96528149,-87.71923585,"(41.96528148614234, -87.719235848053)",14,21849,20,119,12
2503,PB2019A02503,Lavinia Shimkus,,3919-3921,N,Linder,AVE,6,13-21-105-001-0000,,03/28/2019,03/28/2019,41.95199745,-87.76435112,"(41.95199744822303, -87.76435112174579)",15,22618,21,231,19
2502,PB2019A02502,Lavinia Shimkus,,3723-3725,W,Eastwood,AVE,7,13141110300000,,03/28/2019,03/28/2019,41.96546888,-87.72169225,"(41.96546888220734, -87.72169225186659)",14,21849,20,119,12
